date,Austria,Belgium,Bulgaria,Canada,Chile,Croatia,Czechia,Denmark,England & Wales,Estonia,Finland,France,Germany,Greece,Hungary,Iceland,Israel,Italy,Latvia,Lithuania,Luxembourg,Netherlands,New Zealand,Northern Ireland,Norway,Poland,Portugal,Scotland,Slovakia,Slovenia,South Korea,Spain,Sweden,Switzerland,Taiwan,United Kingdom,United States
2020-01-05,-10.83,-6.17,-18.36,1.53,7.57,-16.21,-2.55,-0.39,0.44,-13.9,-10.06,-5.33,-2.33,-2.73,-9.58,24.45,7.89,-14.02,-2.45,-6.37,-27.42,-5.45,3.97,-14.11,-6.43,-0.71,-10.18,-8.93,-3.95,-5.12,5.57,-0.1226,-7.77,-10.8,4.05,34,-0.31
2020-01-12,-8.35,-0.97,-11.59,1.46,11.54,-16.16,-0.92,3.14,1.7,-4,-9.52,-2.71,-0.93,-1.65,-11.22,15.06,-4.19,-11.98,-5.23,-8.42,-8.03,0.34,-1.19,-1.45,3.75,-3.2,-5.13,0.47,-4.56,-6.62,2.96,-0.0915,-3,-8.08,3.48,7,0.02
2020-01-19,0.59,-4,-13.51,1.03,8.65,-19.01,-6.03,-2.85,-1.68,-4.47,-9.67,-4.66,-1.89,0.91,-11.65,17.12,6.37,-10.14,-14.71,-14.46,2.97,-4.01,11.59,5.76,-7.85,-5.66,-3.03,-4.34,-9.5,-7.9,4.84,-0.0565,-5.98,-5.44,1.12,-4,0.26
2020-01-26,1.83,-8.64,-4.55,3.44,2.66,-8.27,-2.15,-6.09,-7.11,-10.61,-7.82,-5.68,-4.66,-0.45,-9.83,23.32,-4.56,-7.2,-10.02,-13.96,-2.47,-8.71,4.21,-8.44,-2.58,-6.96,-5.48,-6.88,-4.69,-4.5,7.69,-0.024,-10.01,-3.06,2.14,-9,1.4
2020-02-02,7.06,-5.46,-1.09,0.42,2.89,-8.45,-1.52,-4.8,-4.83,-9.01,-5.59,-4.12,-2.83,7.27,-8.38,-14.47,-6.14,-7.03,-9.18,-16.41,-9.47,-4.45,7.33,-8.96,-8.96,-3.48,0.08,-7.16,-5.32,-2.75,6.76,-0.0111,-2.1,-3.2,5.41,-8,1.47
2020-02-09,-8.43,-12.43,1.48,1.81,8.43,-8.81,-4.6,-5.25,-7.86,-19.01,-0.71,-5.96,-6.43,6.34,-14.12,-1.67,-10.27,-6.55,-9.52,-15.07,-7.22,-2.94,3.7,0.42,-7.41,-5.42,-5.89,-3.01,-7.74,-2.61,9.67,-0.06480000000000001,-8.58,-7.59,6.57,-8,2.29
2020-02-16,-5.06,-8.03,0.41,-1.13,4.08,-4.32,-4.32,-9.29,-5.82,0.12,-0.07,-5.89,-4.82,9.71,-7.82,3.81,-2.39,-4.74,-10.2,-7.67,-29.01,-4.05,11.93,-3.35,-1.9,-2.89,-13.37,-7.72,-0.88,8.01,5,-0.0858,-5.31,-8.34,0.73,-8,1.92
2020-02-23,-5.65,-6.95,-5.58,-1.21,0.98,-6.27,-6.2,-10.57,-6.1,-1.36,-0.38,-8.23,-9.76,-0.19,-12.51,3.9,0.47,-5.49,-12.74,-21.11,-5.97,-12.69,9.18,-16.95,-6.18,-3.63,-5.82,-6.8,-8.82,-3.18,0.94,-0.1073,-10.77,-9.35,-1.46,-7,3.41
2020-03-01,-2.62,-11.27,-4.4,1.63,5.69,-8.61,-4.41,-13.31,-3.26,-5.82,-6.27,-6.81,-9.53,2.65,-3.86,-1.38,-6.02,-1.81,-28.96,-6.78,-15.53,-6.4,3.05,4.08,-4.49,-3.63,-6.3,0.53,-3.58,-6.44,2.27,-0.0898,-10.07,-11.59,-1.24,-6,4.52
2020-03-08,-0.55,-9.41,-9.82,2.14,5.35,-6.4,-4.94,-9.29,-5.19,-12.38,0.31,-3.88,-7.8,8.99,-7.36,10.36,-1.06,7.81,-22.47,-8.13,-10.78,-6.99,5.96,-9.88,-7.99,-3.09,-6.69,-1.68,-1.43,3.18,2.57,-0.0493,-4.65,-6.44,1.51,-3,4.82
