date,Austria,Belgium,Bulgaria,Croatia,Czech Republic,Denmark,England & Wales,Estonia,Finland,France,Germany,Greece,Hungary,Iceland,Israel,Italy,Latvia,Lithuania,Luxembourg,Netherlands,New Zealand,Northern Ireland,Norway,Poland,Portugal,Scotland,Slovakia,Slovenia,South Korea,Spain,Sweden,Switzerland,United Kingdom,United States
2020-01-05,-11,-7,-19,-16,-3,0,0,-14,-10,-5,-2,-3,-10,24,8,-12,-2,-6,-27,-5,4,-53,-7,-1,-11,-9,-6,-5,5,-0.1,-8,-11,34,0
2020-01-12,-8,-2,-12,-17,-1,3,2,-4,-10,-3,-1,-2,-11,15,-4,-10,-5,-8,-8,0,-1,-1,3,-3,-5,0,-5,-7,3,-0.07,-3,-8,7,-1
2020-01-19,1,-5,-14,-18,-6,-3,-2,-4,-10,-5,-2,1,-12,17,6,-8,-15,-14,3,-4,12,6,-8,-6,-3,-4,-10,-8,5,-0.03,-6,-5,-4,-1
2020-01-26,2,-9,-5,-10,-2,-7,-7,-11,-8,-6,-5,0,-10,23,-5,-5,-10,-14,-2,-9,4,-8,-3,-7,-6,-7,-5,-5,7,-0.05,-10,-3,-9,0
2020-02-02,7,-6,-1,-9,-2,-5,-5,-9,-6,-4,-3,7,-8,-14,-6,-5,-9,-16,-9,-5,7,-9,-9,-4,0,-7,-6,-3,7,-0.04,-2,-3,-8,1
2020-02-09,-9,-13,1,-5,-5,-5,-8,-19,-1,-6,-7,6,-14,NA,-10,-4,-10,-15,-7,-3,4,0,-8,-5,-6,-3,-8,-3,9,-0.03,-9,-8,-8,2
2020-02-16,-5,-9,0,-7,-5,-9,-6,0,0,-6,-5,10,-8,4,-2,-3,-10,-8,-29,-4,12,-3,-2,-3,-14,-8,-1,8,5,-0.06,-5,-8,-8,2
2020-02-23,-6,-8,-6,-5,-6,-10,-6,-1,0,-8,-10,0,-13,4,0,-4,-13,-21,NA,-13,9,-17,-6,-4,-6,-7,-9,-3,1,-0.09,-11,-9,-7,3
2020-03-01,-3,-12,-4,-10,-5,-14,-3,-6,-6,-7,-10,3,-4,NA,-6,0,-29,-7,-16,-6,3,4,-4,-4,-7,1,-4,-6,2,-0.12,-10,-12,-6,4
2020-03-08,-1,-10,-10,-8,-5,-9,-5,-12,0,-4,-8,9,-7,10,-1,11,-22,-8,NA,-7,6,-10,-8,-3,-7,-2,-2,3,2,-0.02,-5,-6,-3,4
