food,category,flavor,total,Rhett_percent,Link_percent
pop-tart,chocolatey flavors,chocolatey churro,75,0.68,0.32
ice cream,chocolate flavors,phish food,79,0.7341772151898734,0.26582278481012656
ice cream,chocolate flavors,new york super fudge chunk,82,0.6463414634146342,0.35365853658536583
pop-tart,chocolatey flavors,pretzel chocolate,96,0.84375,0.15625
pop-tart,chocolatey flavors,chocolate cupcake,98,0.5102040816326531,0.4897959183673469
ice cream,chocolate flavors,minter wonderland,102,0.8137254901960784,0.18627450980392157
ice cream,chocolate flavors,chocolate therapy,115,0.6260869565217392,0.3739130434782609
ice cream,chocolate flavors,chocolate shake it,140,0.5857142857142857,0.4142857142857143
ice cream,chocolate flavors,s'mores,145,0.5103448275862069,0.4896551724137931
ice cream,chocolate flavors,glampfire trail mix,146,0.5273972602739726,0.4726027397260274
ice cream,chocolate flavors,chocolate fudge brownie,153,0.5294117647058824,0.47058823529411764
