episode_name,date,food,category,flavor,order,first,Rhett,Link,total,quote,author,top_4,place
We Tried EVERY Pop-Tarts Flavor,2020-08-26,pop-tart,fruity flavors,froot loops,1,Rhett,68,52,150,,,FALSE,
We Tried EVERY Pop-Tarts Flavor,2020-08-26,pop-tart,fruity flavors,raspberry,2,Rhett,77,84,161,,,FALSE,
We Tried EVERY Pop-Tarts Flavor,2020-08-26,pop-tart,fruity flavors,wildlicious wild! berry,3,Link,81,89,170,,,TRUE,First
We Tried EVERY Pop-Tarts Flavor,2020-08-26,pop-tart,fruity flavors,simply frosted orchard apple cinnamon,4,Rhett,75,50,125,,,FALSE,
We Tried EVERY Pop-Tarts Flavor,2020-08-26,pop-tart,fruity flavors,strawberry,5,Link,70,67,137,,,FALSE,
We Tried EVERY Pop-Tarts Flavor,2020-08-26,pop-tart,fruity flavors,simply frosted harvest strawberry,6,Rhett,66,51,117,,,FALSE,
We Tried EVERY Pop-Tarts Flavor,2020-08-26,pop-tart,fruity flavors,unfrosted blueberry,7,Link,64,30,94,"If I don't like it, it's below a 50.",Rhett,FALSE,
We Tried EVERY Pop-Tarts Flavor,2020-08-26,pop-tart,fruity flavors,crisp apple,8,Rhett,74,75,149,,,FALSE,
We Tried EVERY Pop-Tarts Flavor,2020-08-26,pop-tart,fruity flavors,unfrosted strawberry,9,Rhett,61,29,90,,,FALSE,
We Tried EVERY Pop-Tarts Flavor,2020-08-26,pop-tart,fruity flavors,strawberry milkshake,10,Rhett,49,43,92,,,FALSE,
We Tried EVERY Pop-Tarts Flavor,2020-08-26,pop-tart,fruity flavors,blueberry,11,Rhett,82,59,141,,,FALSE,
We Tried EVERY Pop-Tarts Flavor,2020-08-26,pop-tart,fruity flavors,cherry,12,Link,62,23,85,,,FALSE,
We Tried EVERY Pop-Tarts Flavor,2020-08-26,pop-tart,fruity flavors,"red, white & blueberry",13,Rhett,78,70,148,There's not a lot of dynamic range in pop-tarts.,Rhett,FALSE,
We Tried EVERY Pop-Tarts Flavor,2020-08-26,pop-tart,chocolatey flavors,chocolate chip,14,Link,78,81,159,I take this very seriously. That's why more scores are so consistent.,Rhett,FALSE,
We Tried EVERY Pop-Tarts Flavor,2020-08-26,pop-tart,chocolatey flavors,chocolate chip cookie dough,15,Rhett,58,58,116,,,FALSE,
We Tried EVERY Pop-Tarts Flavor,2020-08-26,pop-tart,chocolatey flavors,chocolatey churro,16,Link,51,24,75,,,FALSE,
We Tried EVERY Pop-Tarts Flavor,2020-08-26,pop-tart,chocolatey flavors,chocolate fudge,17,Rhett,41,65,106,,,FALSE,
We Tried EVERY Pop-Tarts Flavor,2020-08-26,pop-tart,chocolatey flavors,chocolate cupcake,18,Link,50,48,98,,,FALSE,
We Tried EVERY Pop-Tarts Flavor,2020-08-26,pop-tart,chocolatey flavors,pretzel chocolate,19,Rhett,81,15,96,,,FALSE,
We Tried EVERY Pop-Tarts Flavor,2020-08-26,pop-tart,specialty flavors,cinnamon roll,20,Rhett,49,68,117,,,FALSE,
We Tried EVERY Pop-Tarts Flavor,2020-08-26,pop-tart,specialty flavors,confetti cupcake,21,Rhett,38,18,56,,,FALSE,
We Tried EVERY Pop-Tarts Flavor,2020-08-26,pop-tart,specialty flavors,crisps: strawberrylicious,22,Rhett,86,87,173,,,TRUE,
We Tried EVERY Pop-Tarts Flavor,2020-08-26,pop-tart,specialty flavors,brown sugar cinnamon,23,Rhett,72,56,128,,,FALSE,
We Tried EVERY Pop-Tarts Flavor,2020-08-26,pop-tart,specialty flavors,cookies & creme,24,Rhett,49,39,88,,,FALSE,
We Tried EVERY Pop-Tarts Flavor,2020-08-26,pop-tart,specialty flavors,crisps: blueberrific,25,Rhett,89,88,177,,,TRUE,Second
We Tried EVERY Pop-Tarts Flavor,2020-08-26,pop-tart,specialty flavors,sugar cookie,26,Link,58,40,98,,,FALSE,
We Tried EVERY Pop-Tarts Flavor,2020-08-26,pop-tart,specialty flavors,pretzel cinnamon sugar,27,Rhett,79,13,92,,,FALSE,
We Tried EVERY Pop-Tarts Flavor,2020-08-26,pop-tart,specialty flavors,unfrosted brown sugar cinnamon,28,Rhett,61,21,82,,,FALSE,
We Tried EVERY Pop-Tarts Flavor,2020-08-26,pop-tart,specialty flavors,hot fudge sundae,29,Link,74,69,143,,,FALSE,
We Tried EVERY Pop-Tarts Flavor,2020-08-26,pop-tart,specialty flavors,crisps: appletastic,30,Rhett,78,77,155,The crisps are just delightful.,Link,FALSE,
We Tried EVERY Pop-Tarts Flavor,2020-08-26,pop-tart,specialty flavors,s'mores,31,Rhett,86,89,175,,,TRUE,Third
We Tried EVERY Pop-Tarts Flavor,2020-08-26,pop-tart,specialty flavors,mer-mazing blue raspberry,32,Rhett,81,49,130,,,FALSE,
We Tried EVERY Krispy Kreme Donut Flavor,2020-07-10,donut,glazed and/or iced,original glazed,1,Link,85,91,176,,,TRUE,First
We Tried EVERY Krispy Kreme Donut Flavor,2020-07-10,donut,glazed and/or iced,maple iced glazed,2,Link,71,64,135,,,FALSE,
We Tried EVERY Krispy Kreme Donut Flavor,2020-07-10,donut,glazed and/or iced,chocolate iced glazed,3,Rhett,86,89,175,,,TRUE,
We Tried EVERY Krispy Kreme Donut Flavor,2020-07-10,donut,glazed and/or iced,chocolate iced glazed w/ sprinkles,4,Rhett,72,43,115,,,FALSE,
We Tried EVERY Krispy Kreme Donut Flavor,2020-07-10,donut,glazed and/or iced,strawberry iced,5,Rhett,54,20,74,,,FALSE,
We Tried EVERY Krispy Kreme Donut Flavor,2020-07-10,donut,glazed and/or iced,strawberry iced with sprinkles,6,Rhett,31,19,50,,,FALSE,
We Tried EVERY Krispy Kreme Donut Flavor,2020-07-10,donut,glazed and/or iced,glazed sour cream,7,Rhett,84,69,153,,,FALSE,
We Tried EVERY Krispy Kreme Donut Flavor,2020-07-10,donut,glazed and/or iced,glazed chocolate cake,8,Rhett,94,83,177,,,TRUE,Third
