year,school_id,awlevel,sex,graduates
2010,108870,06,male,3
2010,108870,06,female,4
2010,108870,07,male,69
2010,108870,07,female,38
2011,108870,06,male,10
2011,108870,06,female,3
2011,108870,07,male,78
2011,108870,07,female,39
2012,108870,06,male,15
2012,108870,06,female,3
2012,108870,07,male,67
2012,108870,07,female,36
2013,108870,06,male,4
2013,108870,06,female,2
2013,108870,07,male,73
2013,108870,07,female,42
2014,108870,06,male,10
2014,108870,06,female,1
2014,108870,07,male,74
2014,108870,07,female,47
2015,108870,06,male,5
2015,108870,06,female,2
2015,108870,07,male,72
2015,108870,07,female,50
2016,108870,06,male,11
2016,108870,06,female,6
2016,108870,07,male,54
2016,108870,07,female,46
2017,108870,06,male,6
2017,108870,06,female,0
2017,108870,07,male,62
2017,108870,07,female,48
2018,108870,06,male,12
2018,108870,06,female,1
2018,108870,07,male,62
2018,108870,07,female,55
2019,108870,06,male,5
2019,108870,06,female,4
2019,108870,07,male,61
2019,108870,07,female,53
2010,110662,05,male,17
2010,110662,05,female,10
2010,110662,07,male,47
2010,110662,07,female,36
2010,110662,08,male,2
2010,110662,08,female,2
2010,110662,17,male,3
2010,110662,17,female,2
2011,110662,05,male,8
2011,110662,05,female,17
2011,110662,07,male,31
2011,110662,07,female,38
2011,110662,08,male,3
2011,110662,08,female,2
2011,110662,17,male,2
2011,110662,17,female,5
2012,110662,05,male,16
2012,110662,05,female,17
2012,110662,07,male,51
2012,110662,07,female,45
2012,110662,08,male,2
2012,110662,08,female,1
2012,110662,17,male,3
2012,110662,17,female,1
2013,110662,05,male,15
2013,110662,05,female,22
2013,110662,07,male,69
2013,110662,07,female,67
2013,110662,08,male,0
2013,110662,08,female,0
2013,110662,17,male,1
2013,110662,17,female,1
2014,110662,05,male,15
2014,110662,05,female,17
2014,110662,07,male,43
2014,110662,07,female,41
2014,110662,08,male,0
2014,110662,08,female,0
2014,110662,17,male,2
2014,110662,17,female,6
2015,110662,05,male,12
2015,110662,05,female,13
2015,110662,07,male,44
2015,110662,07,female,49
2015,110662,08,male,0
2015,110662,08,female,0
2015,110662,17,male,4
2015,110662,17,female,1
2016,110662,05,male,19
2016,110662,05,female,15
2016,110662,07,male,36
2016,110662,07,female,35
2016,110662,08,male,0
2016,110662,08,female,0
2016,110662,17,male,3
2016,110662,17,female,0
2017,110662,05,male,15
2017,110662,05,female,14
